Table,Year,Data_item,Region,State,Value,Units
Milk cows,1972,"Milk cows, average inventory",Northeast,Total region,2233.50,Thousand head
Milk cows,1972,"Milk cows, average inventory",Lake States,Michigan,427.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Lake States,Minnesota,932.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Lake States,Wisconsin,1831.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Lake States,Total region,3190.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Corn Belt,Illinois,282.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Corn Belt,Indiana,235.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Corn Belt,Iowa,454.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Corn Belt,Missouri,323.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Corn Belt,Ohio,436.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Corn Belt,Total region,1730.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northern Plains,Kansas,168.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northern Plains,Nebraska,168.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northern Plains,North Dakota,126.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northern Plains,South Dakota,177.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northern Plains,Total region,639.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Appalachia,Kentucky,325.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Appalachia,North Carolina,163.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Appalachia,Tennessee,255.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Appalachia,Virginia,179.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Appalachia,West Virginia,43.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Appalachia,Total region,965.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southeast,Alabama,117.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southeast,Florida,198.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southeast,Georgia,145.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southeast,South Carolina,63.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southeast,Total region,523.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Delta States,Arkansas,96.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Delta States,Louisiana,155.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Delta States,Mississippi,154.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Delta States,Total region,405.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southern Plains,Oklahoma,136.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southern Plains,Texas,358.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Southern Plains,Total region,494.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Arizona,51.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Colorado,76.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Idaho,155.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Montana,33.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Nevada,13.80,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,New Mexico,30.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Utah,77.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Wyoming,14.60,Thousand head
Milk cows,1972,"Milk cows, average inventory",Mountain Region,Total region,450.40,Thousand head
Milk cows,1972,"Milk cows, average inventory",West Coast,California,778.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",West Coast,Oregon,94.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",West Coast,Washington,184.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",West Coast,Total region,1056.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Other States,Alaska,1.70,Thousand head
Milk cows,1972,"Milk cows, average inventory",Other States,Hawaii,12.80,Thousand head
Milk cows,1972,"Milk cows, average inventory",Other States,Total region,14.50,Thousand head
